NAME;OPENING_CLOSE_HOURS
Campus;"Ciutadella:Monday to Friday: 08:00-01:00.Saturday to Sunday:10:00-03:00.In March, Monday to Friday: 08:00-21:00.Saturday to Sunday:10:00-21:00,Poblenou:Monday to Friday: 08:00-21:00.Satuday to Sunday: 10:00-01:00"
Library;"Ciutadella:Monday to Friday: 08:00-21:00.Saturday to Sunday:10:00-21:00.Mar:Monday to Friday: 08:00-21:00.Saturday to Sunday:10:00-21:00.Poblenou:Monday to Friday: 08:00-21:00.Saturday to Sunday:10:00-01:00".
Secretary;"Ciutadella:Monday to Friday: 11:00-14:00 and 15:00-18:00.Saturday to Sunday:CLOSED.Mar:Monday to Friday: 11:00-14:00.Saturday to Sunday:CLOSED.Poblenou:Monday to Friday: 11:00-14:00 and 15:00-18:00.Saturday to Sunday:CLOSED"
